,TRADEDATE,CLOSE
1094,2017-08-02,169.9
1095,2017-08-03,170.0
1096,2017-08-04,169.73
1097,2017-08-07,172.79
1098,2017-08-08,175.75
1099,2017-08-09,173.4
1100,2017-08-10,172.2
1101,2017-08-11,172.05
1102,2017-08-14,172.51
1103,2017-08-15,172.33
1104,2017-08-16,173.05
1105,2017-08-17,172.72
1106,2017-08-18,169.5
1107,2017-08-21,169.9
1108,2017-08-22,171.0
1109,2017-08-23,175.3
1110,2017-08-24,179.8
1111,2017-08-25,180.51
1112,2017-08-28,181.85
1113,2017-08-29,181.89
1114,2017-08-30,183.5
1115,2017-08-31,183.51
1116,2017-09-01,183.66
1117,2017-09-04,184.1
1118,2017-09-05,184.14
1119,2017-09-06,183.12
1120,2017-09-07,184.0
1121,2017-09-08,185.89
1122,2017-09-11,190.5
1123,2017-09-12,189.32
1124,2017-09-13,189.1
1125,2017-09-14,188.64
1126,2017-09-15,188.75
1127,2017-09-18,188.04
1128,2017-09-19,184.85
1129,2017-09-20,186.47
1130,2017-09-21,187.38
1131,2017-09-22,187.55
1132,2017-09-25,191.2
1133,2017-09-26,192.54
1134,2017-09-27,193.7
1135,2017-09-28,191.96
1136,2017-09-29,192.33
1137,2017-10-02,193.0
1138,2017-10-03,192.5
1139,2017-10-04,192.03
1140,2017-10-05,193.74
1141,2017-10-06,194.16
1142,2017-10-09,194.0
1143,2017-10-10,193.21
1144,2017-10-11,195.83
1145,2017-10-12,195.51
1146,2017-10-13,196.48
1147,2017-10-16,197.7
1148,2017-10-17,197.2
1149,2017-10-18,195.31
1150,2017-10-19,192.2
1151,2017-10-20,192.97
1152,2017-10-23,192.34
1153,2017-10-24,192.5
1154,2017-10-25,192.04
1155,2017-10-26,192.75
1156,2017-10-27,196.05
1157,2017-10-30,195.0
1158,2017-10-31,193.8
1159,2017-11-01,194.05
1160,2017-11-02,193.85
1161,2017-11-03,193.8
1162,2017-11-07,205.96
1163,2017-11-08,209.09
1164,2017-11-09,220.05
1165,2017-11-10,217.7
1166,2017-11-13,216.61
1167,2017-11-14,221.4
1168,2017-11-15,225.95
1169,2017-11-16,227.5
1170,2017-11-17,225.65
1171,2017-11-20,224.6
1172,2017-11-21,231.0
1173,2017-11-22,230.25
1174,2017-11-23,225.56
1175,2017-11-24,228.0
1176,2017-11-27,226.76
1177,2017-11-28,230.0
1178,2017-11-29,228.2
1179,2017-11-30,224.35
1180,2017-12-01,221.5
1181,2017-12-04,224.6
1182,2017-12-05,223.91
1183,2017-12-06,223.75
1184,2017-12-07,219.81
1185,2017-12-08,220.89
1186,2017-12-11,227.69
1187,2017-12-12,227.9
1188,2017-12-13,221.8
1189,2017-12-14,229.9
1190,2017-12-15,226.53
1191,2017-12-18,227.4
1192,2017-12-19,224.1
1193,2017-12-20,226.0
1194,2017-12-21,223.6
1195,2017-12-22,221.44
1196,2017-12-25,223.3
1197,2017-12-26,223.57
1198,2017-12-27,226.98
1199,2017-12-28,224.2
1200,2017-12-29,225.2
1201,2018-01-03,231.9
1202,2018-01-04,238.8
1203,2018-01-05,238.6
1204,2018-01-09,240.4
1205,2018-01-10,237.76
1206,2018-01-11,239.0
1207,2018-01-12,237.75
1208,2018-01-15,238.85
1209,2018-01-16,239.64
1210,2018-01-17,239.82
1211,2018-01-18,245.5
1212,2018-01-19,242.45
1213,2018-01-22,243.99
1214,2018-01-23,244.4
1215,2018-01-24,247.53
1216,2018-01-25,250.64
1217,2018-01-26,247.0
1218,2018-01-29,250.48
1219,2018-01-30,257.8
1220,2018-01-31,264.5
1221,2018-02-01,263.2
1222,2018-02-02,257.32
1223,2018-02-05,255.64
1224,2018-02-06,258.94
1225,2018-02-07,257.58
1226,2018-02-08,253.19
1227,2018-02-09,250.11
1228,2018-02-12,255.05
1229,2018-02-13,258.3
1230,2018-02-14,262.03
1231,2018-02-15,264.58
1232,2018-02-16,266.99
1233,2018-02-19,266.85
1234,2018-02-20,267.22
1235,2018-02-21,279.2
1236,2018-02-22,277.49
1237,2018-02-26,279.97
1238,2018-02-27,278.21
1239,2018-02-28,272.4
1240,2018-03-01,275.0
1241,2018-03-02,273.0
1242,2018-03-05,277.0
1243,2018-03-06,274.03
1244,2018-03-07,274.0
1245,2018-03-09,274.6
1246,2018-03-12,274.3
1247,2018-03-13,273.95
1248,2018-03-14,262.5
1249,2018-03-15,254.51
1250,2018-03-16,256.15
1251,2018-03-19,255.0
1252,2018-03-20,257.15
1253,2018-03-21,268.88
1254,2018-03-22,265.5
1255,2018-03-23,262.0
1256,2018-03-26,255.0
1257,2018-03-27,258.0
1258,2018-03-28,251.5
1259,2018-03-29,252.9
1260,2018-03-30,253.57
1261,2018-04-02,249.99
1262,2018-04-03,251.6
1263,2018-04-04,255.69
1264,2018-04-05,262.0
1265,2018-04-06,256.76
1266,2018-04-09,213.0
1267,2018-04-10,214.8
1268,2018-04-11,208.0
1269,2018-04-12,212.21
1270,2018-04-13,204.7
1271,2018-04-16,192.06
1272,2018-04-17,207.5
1273,2018-04-18,215.87
1274,2018-04-19,213.45
1275,2018-04-20,215.36
1276,2018-04-23,223.25
1277,2018-04-24,223.0
1278,2018-04-25,220.45
1279,2018-04-26,220.7
1280,2018-04-27,223.91
1281,2018-04-28,224.8
1282,2018-04-30,226.99
1283,2018-05-02,229.02
1284,2018-05-03,228.03
1285,2018-05-04,228.55
1286,2018-05-07,229.86
1287,2018-05-08,226.7
1288,2018-05-10,233.7
1289,2018-05-11,235.72
1290,2018-05-14,237.8
1291,2018-05-15,231.39
1292,2018-05-16,229.8
1293,2018-05-17,226.05
1294,2018-05-18,222.2
1295,2018-05-21,226.21
1296,2018-05-22,225.6
1297,2018-05-23,221.0
1298,2018-05-24,222.01
1299,2018-05-25,220.0
1300,2018-05-28,220.9
1301,2018-05-29,219.0
1302,2018-05-30,221.01
1303,2018-05-31,222.36
1304,2018-06-01,220.0
1305,2018-06-04,220.0
1306,2018-06-05,215.56
1307,2018-06-06,217.9
1308,2018-06-07,216.41
1309,2018-06-08,210.95
1310,2018-06-09,212.6
1311,2018-06-11,210.35
1312,2018-06-13,215.0
1313,2018-06-14,214.0
1314,2018-06-15,209.36
1315,2018-06-18,206.3
1316,2018-06-19,206.0
1317,2018-06-20,212.2
1318,2018-06-21,210.4
1319,2018-06-22,214.43
1320,2018-06-25,202.51
1321,2018-06-26,199.91
1322,2018-06-27,207.95
1323,2018-06-28,208.5
1324,2018-06-29,218.0
1325,2018-07-02,221.01
1326,2018-07-03,218.45
1327,2018-07-04,217.7
1328,2018-07-05,224.54
1329,2018-07-06,226.71
1330,2018-07-09,230.0
1331,2018-07-10,230.3
1332,2018-07-11,227.57
1333,2018-07-12,226.6
1334,2018-07-13,229.85
1335,2018-07-16,227.99
1336,2018-07-17,222.5
1337,2018-07-18,216.28
1338,2018-07-19,207.5
1339,2018-07-20,204.34
1340,2018-07-23,208.42
